ID,GeneName,dise.brain,bio.inter,bio.brain,expre.brain,pathway.brain,tfbs,ASDDenovo,SCZDenovo,scz.drug,scz.literature,scz.animal,depre.drug,depre.literature,bpd.drug,bpd.literature,adhd.drug,adhd.literature,adhd.animal,asd.drug,asd.literature,asd.animal
164592,CCDC116,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164633,CABP7,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164656,TMPRSS6,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164668,APOBEC3H,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164684,WBP2NL,0,1,1,1,0,1,1,0,0,0,0,0,0.0148,0,0,0,0,0,0,0,0
164714,TTLL8,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164781,DAW1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164832,LONRF2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165055,CCDC138,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165082,ADGRF3,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165100,C2orf57,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165140,OXER1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0144,0,0,0,0
165186,FAM179A,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165215,FAM171B,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165257,C1QL2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165324,UBXN2A,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165530,CLEC4F,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165545,DQX1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165631,PARP15,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165679,SPTSSB,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165721,DNAJB8,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165829,GPR156,1,0,1,1,2,1,1,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0
165904,XIRP1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0
165918,RNF168,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166012,CHST13,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166336,PRICKLE2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0374,0
166348,KBTBD12,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166378,SPATA5,1,1,2,1,1,1,1,0,0,0,0,0,0.02,0,0,0,0.02,0,0,0,0
166379,BBS12,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166614,DCLK2,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166647,ADGRA3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166655,TRIM60,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166752,FREM3,0,0,1,0,0,0,1,0,0,0,0,0,0.0823,0,0,0,0,0,0,0,0
166785,MMAA,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166793,ZBTB49,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166815,TIGD2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166824,RASSF6,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166863,RBM46,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166929,SGMS2,2,1,1,0,1,1,1,0,0,0,0,0,0.0236,0,0,0,0,0,0,0,0
166968,MIER3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166979,CDC20B,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167127,UGT3A2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167153,PAPD4,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167227,DCP2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167359,NIM1K,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167410,LIX1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167465,ZNF366,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167555,FAM151B,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167681,PRSS35,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167691,LCA5,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167826,OLIG3,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167838,TXLNB,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168002,DACT2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168090,C6orf118,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168374,ZNF92,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168391,GALNTL5,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0
168400,DDX53,2,1,1,0,0,1,0,0,0,0,0,0,0.0167,0,0,0,0,0,0,0,0
168417,ZNF679,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168433,RNF133,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168451,THAP5,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168455,CCDC71L,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168507,PKD1L1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168537,GIMAP7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168544,ZNF467,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168620,BHLHA15,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168667,BMPER,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168850,ZNF800,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168975,CNBD1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169026,SLC30A8,1,1,1,1,0,1,1,0,0,0.042,0,0,0,0,0,0,0,0,0,0,0
169044,COL22A1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169166,SNX31,1,1,1,0,0,1,1,1,0,0.0144,0,0,0,0,0,0,0,0,0,0,0
169200,TMEM64,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169270,ZNF596,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169355,IDO2,1,0,2,0,1,1,1,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0
169436,STKLD1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169522,KCNV2,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169611,OLFML2A,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169693,TMEM252,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169714,QSOX2,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169792,GLIS3,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169834,ZNF883,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169841,ZNF169,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169966,FAM46D,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169981,SPIN3,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170062,FAM47B,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170067,SUPT20HL2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170082,TCEANC,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170261,ZCCHC12,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170302,ARX,2,1,2,0,0,1,1,0,0,0.0144,0,0,0,0,0,0,0,0.272222222,0,0.058016711,0
170370,FAM170B,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170371,C10orf128,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170384,FUT11,0,1,1,0,0,1,1,0,0,0.0148,0,0,0,0,0,0,0,0,0,0,0
170392,OIT3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170393,C10orf91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170394,PWWP2B,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170463,SSBP4,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170482,CLEC4C,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144,0
170487,ACTL10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170506,DHX36,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170572,HTR3C,2,2,2,0,2,1,0,0,1,0.0336,0,1,0.0144,0.2,0,0,0,0,0,0.0292,0
170575,GIMAP1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170589,GPHA2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170591,S100Z,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170622,COMMD6,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170626,XAGE3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
