ID,ENSEMBL_GENE_ID,GeneName,dise.brain,bio.inter,bio.brain,expre.brain,pathway.brain,tfbs,ASDDenovo,SCZDenovo,scz.drug,scz.literature,scz.animal,depre.drug,depre.literature,bpd.drug,bpd.literature,adhd.drug,adhd.literature,adhd.animal,asd.drug,asd.literature,asd.animal
5921,ENSG00000145715,RASA1,1,1,2,1,1,1,1,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0
5922,ENSG00000155903,RASA2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5923,ENSG00000058335,RASGRF1,1,2,2,1,1,1,1,0,0,0,0,0,0.0296,0,0,0,0,0,0,0,0
5924,ENSG00000113319,RASGRF2,1,1,1,1,1,1,1,0,0,0,0,0,0.0296,0,0,0,0,0,0,0,0
5925,ENSG00000139687,RB1,1,2,2,1,1,1,1,0,0,0.0144,0,0,0.0148,0,0.0144,0,0,0,0,0,0
5926,ENSG00000032219,ARID4A,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5927,ENSG00000073614,KDM5A,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5928,ENSG00000162521,RBBP4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5929,ENSG00000117222,RBBP5,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5930,ENSG00000122257,RBBP6,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5931,ENSG00000102054,RBBP7,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5932,ENSG00000101773,RBBP8,1,1,1,0,0,1,1,0,0,0,0,0,0.0083,0,0,0,0,0,0,0,0
5933,ENSG00000080839,RBL1,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5934,ENSG00000103479,RBL2,1,1,1,0,1,1,1,0,0,0,0,0,0.0220204444444444,0,0,0,0,0,0,0,0
5935,ENSG00000102317,RBM3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0.0308,0,0,0,0,0,0
5936,ENSG00000173933,RBM4,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5937,ENSG00000153250,RBMS1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5939,ENSG00000076067,RBMS2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5940,ENSG00000234414,RBMY1A1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5947,ENSG00000114115,RBP1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5948,ENSG00000114113,RBP2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5949,ENSG00000265203,RBP3,1,1,1,0,0,1,0,1,0,0,0,0,0.0164,0,0,0,0,0,0,0,0
5950,ENSG00000138207,RBP4,1,1,1,0,0,1,0,0,0,0.0716167892416226,0,0,0.0792053350340136,0,0,0,0,0,0,0.0275972222222222,0
5954,ENSG00000049449,RCN1,2,1,1,0,0,1,1,0,0,0.0174,0,0,0.0144,0,0,0,0,0,0,0.032,0
5955,ENSG00000117906,RCN2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5956,ENSG00000102076,OPN1LW,1,1,1,0,0,1,1,0,0,0.014,0,0,0.016,0,0,0,0,0,0,0,0
5957,ENSG00000109047,RCVRN,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5959,ENSG00000135437,RDH5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5961,ENSG00000112619,PRPH2,1,0,1,1,0,1,1,0,0,0,0,0,0.0242,0,0,0,0.0296877777777778,0,0,0,0
5962,ENSG00000137710,RDX,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0
5965,ENSG00000004700,RECQL,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5966,ENSG00000162924,REL,1,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5967,ENSG00000115386,REG1A,1,1,1,0,0,1,0,0,0,0,0,0,0.0409,0,0,0,0,0,0,0,0
5968,ENSG00000172023,REG1B,1,1,1,0,0,1,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
5970,ENSG00000173039,RELA,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5971,ENSG00000104856,RELB,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5972,ENSG00000143839,REN,2,1,1,0,1,1,0,0,0,0.0383742222222222,0,0,0.0655047987858756,0,0.0381,0,0.0240454444444444,0,0,0.0101,0
5973,ENSG00000102032,RENBP,1,1,1,0,1,1,0,0,0,0.0148,0,0,0,0,0,0,0,0,0,0,0
5976,ENSG00000005007,UPF1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0156,0
5977,ENSG00000133884,DPF2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5978,ENSG00000084093,REST,1,1,2,1,1,1,1,0,0,0.0296,0,0,0.0281972222222222,0,0,0,0,0,0,0.0316,0
5979,ENSG00000165731,RET,2,1,2,1,1,1,1,0,0,0.0148,0,0,0.0276,0,0,0,0,0,0,0,0
5980,ENSG00000009413,REV3L,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
5981,ENSG00000035928,RFC1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
